Date,Price,Open,High,Low,Vol.,Change %
2020-08-07,190.65,191.45,192.1,189.55,44.82M,-0.16%
2020-08-06,190.95,192.3,194.5,190.25,59.74M,-0.26%
2020-08-05,191.45,192.75,196.85,191,68.89M,-0.08%
2020-08-04,191.6,193.35,193.8,190.5,43.87M,-0.34%
2020-08-03,192.25,192,194.6,190.05,72.46M,0.42%
2020-07-31,191.45,188,194.85,186.7,145.90M,2.63%
2020-07-30,186.55,192.5,193.5,186.05,48.48M,-2.43%
2020-07-29,191.2,187.6,195.25,187,73.77M,0.92%
2020-07-28,189.45,188,190.5,185.75,51.49M,1.23%
2020-07-27,187.15,193,193.2,186.5,50.71M,-2.50%
2020-07-24,191.95,195.7,196.3,190.65,65.27M,-3.18%
2020-07-23,198.25,192.4,199.1,191.15,70.80M,3.26%
2020-07-22,192,195.7,196.75,190.1,62.28M,-1.23%
2020-07-21,194.4,192.45,196.2,191.5,59.29M,1.91%
2020-07-20,190.75,190,193.25,188.75,45.68M,1.35%
2020-07-17,188.2,186.8,189.5,185,47.04M,1.05%
2020-07-16,186.25,185,186.95,181.65,46.55M,1.33%
2020-07-15,183.8,187.95,189.95,183,58.53M,-1.21%
2020-07-14,186.05,192.3,192.3,184.6,62.24M,-3.45%
2020-07-13,192.7,198.8,199.8,191.6,61.95M,-1.48%
2020-07-10,195.6,198,202.5,194.8,111.41M,-1.76%
2020-07-09,199.1,192.8,201,192.55,89.54M,3.75%
2020-07-08,191.9,188.9,197.45,188.4,143.08M,1.75%
2020-07-07,188.6,187,189.2,184.05,55.12M,0.29%
2020-07-06,188.05,186.6,189.85,186.15,43.79M,1.81%
2020-07-03,184.7,186.65,186.85,183.4,38.05M,-0.40%
2020-07-02,185.45,185.65,188,184,52.13M,0.35%
2020-07-01,184.8,179.45,185.4,178.6,54.02M,3.56%
2020-06-30,178.45,181.1,182.9,177.25,43.62M,-0.45%
2020-06-29,179.25,183,183.1,178.5,50.97M,-2.90%
2020-06-26,184.6,188,188.6,183.8,49.18M,-0.35%
2020-06-25,185.25,182.2,186.8,180.4,73.63M,0.35%
2020-06-24,184.6,194.8,194.9,183.9,74.67M,-4.08%
2020-06-23,192.45,189.6,193.1,187.85,65.49M,2.53%
2020-06-22,187.7,185,191.75,184.25,80.02M,1.73%
2020-06-19,184.5,180.3,184.95,179.5,76.90M,2.70%
2020-06-18,179.65,172.4,180.65,171.1,58.26M,3.87%
2020-06-17,172.95,171,176.2,169.25,73.87M,0.03%
2020-06-16,172.9,178,178.95,169.4,63.93M,-0.46%
2020-06-15,173.7,177.85,177.85,172,63.62M,-3.04%
2020-06-12,179.15,170,180,169.8,92.76M,1.13%
2020-06-11,177.15,188,190.4,176.35,91.73M,-5.62%
2020-06-10,187.7,184.55,189,183.8,67.34M,1.76%
2020-06-09,184.45,187.7,191,183.35,96.66M,-1.26%
2020-06-08,186.8,197,197.5,185.8,151.75M,-0.53%
2020-06-05,187.8,176.55,189.8,176,201.33M,7.90%
2020-06-04,174.05,174.9,177.65,171.5,83.50M,-0.49%
2020-06-03,174.9,172.5,179.9,172,113.17M,2.73%
2020-06-02,170.25,169.9,171.3,167.2,70.42M,0.12%
2020-06-01,170.05,164,171.4,163.35,92.74M,5.42%
2020-05-29,161.3,156.1,161.9,155.2,58.37M,1.96%
2020-05-28,158.2,159.45,162.4,156.7,76.97M,-0.25%
